run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260511-19:20:16-531420,runattr,,,configname,General,,
General-0-20260511-19:20:16-531420,runattr,,,datetime,20260511-19:20:16,,
General-0-20260511-19:20:16-531420,runattr,,,datetimef,20260511-192016,,
General-0-20260511-19:20:16-531420,runattr,,,experiment,General,,
General-0-20260511-19:20:16-531420,runattr,,,inifile,coldchain.ini,,
General-0-20260511-19:20:16-531420,runattr,,,iterationvars,,,
General-0-20260511-19:20:16-531420,runattr,,,iterationvarsd,,,
General-0-20260511-19:20:16-531420,runattr,,,iterationvarsf,,,
General-0-20260511-19:20:16-531420,runattr,,,measurement,,,
General-0-20260511-19:20:16-531420,runattr,,,network,ColdChainNetwork,,
General-0-20260511-19:20:16-531420,runattr,,,processid,531420,,
General-0-20260511-19:20:16-531420,runattr,,,repetition,0,,
General-0-20260511-19:20:16-531420,runattr,,,replication,#0,,
General-0-20260511-19:20:16-531420,runattr,,,resultdir,results,,
General-0-20260511-19:20:16-531420,runattr,,,runnumber,0,,
General-0-20260511-19:20:16-531420,runattr,,,seedset,0,,
General-0-20260511-19:20:16-531420,config,,,image-path,../../inet4.4/images,,
General-0-20260511-19:20:16-531420,config,,,num-rngs,2,,
General-0-20260511-19:20:16-531420,config,,,network,ColdChainNetwork,,
General-0-20260511-19:20:16-531420,config,,,sim-time-limit,1h,,
General-0-20260511-19:20:16-531420,config,,,repeat,10,,
General-0-20260511-19:20:16-531420,config,,,seed-set,0,,
General-0-20260511-19:20:16-531420,config,,,ned-path,..:../ned:../../inet4.4/src:../../flora/src,,
General-0-20260511-19:20:16-531420,config,,,**.mobility.typename,StationaryMobility,,
General-0-20260511-19:20:16-531420,config,,,**.initFromDisplayString,false,,
General-0-20260511-19:20:16-531420,config,,,**.antenna.mobility.initialX,0m,,
General-0-20260511-19:20:16-531420,config,,,**.antenna.mobility.initialY,0m,,
General-0-20260511-19:20:16-531420,config,,,**.antenna.mobility.initialZ,0m,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.mobility.initialX,250m,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.mobility.initialY,250m,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.mobility.initialZ,0m,,
General-0-20260511-19:20:16-531420,config,,,*.server.mobility.initialX,400m,,
General-0-20260511-19:20:16-531420,config,,,*.server.mobility.initialY,250m,,
General-0-20260511-19:20:16-531420,config,,,*.server.mobility.initialZ,0m,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].mobility.initialX,"uniform(100m, 200m)",,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].mobility.initialY,"uniform(100m, 300m)",,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].mobility.initialZ,0m,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.packetForwarder.queueMaxPackets,10,,
General-0-20260511-19:20:16-531420,config,,,**.gateway.packetForwarder.queueLength.result-recording-modes,+vector,,
General-0-20260511-19:20:16-531420,config,,,*.radioMedium.analogModel.ignoreInterference,false,,
General-0-20260511-19:20:16-531420,config,,,*.radioMedium.backgroundNoise.power,-110dBm,,
General-0-20260511-19:20:16-531420,config,,,*.radioMedium.typename,LoRaMedium,,
General-0-20260511-19:20:16-531420,config,,,**.maxTransmissionDuration,1000s,,
General-0-20260511-19:20:16-531420,config,,,**.energyStorage.typename,IdealEpEnergyStorage,,
General-0-20260511-19:20:16-531420,config,,,**.energyConsumer.typename,LoRaEnergyConsumer,,
General-0-20260511-19:20:16-531420,config,,,**.energyConsumer.configFile,"xmldoc(""energyConfig.xml"")",,
General-0-20260511-19:20:16-531420,config,,,*.gateway.LoRaGWNic.radio.energyConsumer.energySourceModule,"""ColdChainNetwork.gateway.energyStorage""",,
General-0-20260511-19:20:16-531420,config,,,*.gateway.LoRaGWNic.energySourceModule,"""ColdChainNetwork.gateway.energyStorage""",,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].LoRaNic.radio.energyConsumer.energySourceModule,"""ColdChainNetwork.sensor[index].energyStorage""",,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].LoRaNic.energySourceModule,"""ColdChainNetwork.sensor[index].energyStorage""",,
General-0-20260511-19:20:16-531420,config,,,**.energyStorage.nominalCapacity,1000J,,
General-0-20260511-19:20:16-531420,config,,,**.energyStorage.initialCapacity,1000J,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].numApps,1,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].typename,ColdChainApp,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].destAddresses,"""gateway""",,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].destPort,4000,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].timeToNextPacket,20s,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].tempMean,0,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].tempStdDev,3,,
General-0-20260511-19:20:16-531420,config,,,*.sensor[*].app[0].tempThreshold,8,,
General-0-20260511-19:20:16-531420,config,,,**.sensor[*].app[0].humMean,40,,
General-0-20260511-19:20:16-531420,config,,,**.sensor[*].app[0].humStdDev,3,,
General-0-20260511-19:20:16-531420,config,,,**.sensor[*].app[0].humThreshold,55,,
General-0-20260511-19:20:16-531420,config,,,**.sensor[*].app[0].failureRate,0.05,,
General-0-20260511-19:20:16-531420,config,,,**.transmitter.spreadingFactor,12,,
General-0-20260511-19:20:16-531420,config,,,**.transmitter.power,14dBm,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.numApps,1,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.app[0].typename,PacketForwarder,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.packetForwarder.localPort,4000,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.packetForwarder.destPort,5000,,
General-0-20260511-19:20:16-531420,config,,,*.gateway.packetForwarder.destAddresses,"""server""",,
General-0-20260511-19:20:16-531420,config,,,*.server.numApps,1,,
General-0-20260511-19:20:16-531420,config,,,*.server.app[0].typename,NetworkServerApp,,
General-0-20260511-19:20:16-531420,config,,,*.server.app[0].localPort,5000,,
General-0-20260511-19:20:16-531420,config,,,output-vector-file,results/General-0.vec,,
General-0-20260511-19:20:16-531420,config,,,output-scalar-file,results/General-0.sca,,
General-0-20260511-19:20:16-531420,config,,,cmdenv-express-mode,false,,
General-0-20260511-19:20:16-531420,config,,,cmdenv-log-prefix,[%l] %m: ,,
General-0-20260511-19:20:16-531420,config,,,**.temperature.result-recording-modes,"+vector,+mean",,
General-0-20260511-19:20:16-531420,config,,,**.packetDelivery.result-recording-modes,+count,,
